Frequency (MHz),Phase Difference (degrees)
1.03488,-98.97942649707726
1.03584,-98.31828238136173
1.0368000000000002,-100.85531878917512
1.03776,-100.82942576767523
1.03872,-100.50598601870422
1.0396800000000002,-101.91644037498718
1.04064,-102.99015190938745
1.0416,-103.50741026081576
1.0425600000000002,-104.77761467771676
1.04352,-106.2561920484929
1.04448,-106.1240011454168
1.0454400000000001,-106.64036553298217
1.0464,-106.82611927860086
1.04736,-108.51314577415454
1.0483200000000001,-109.03775864025022
1.04928,-109.75936167334065
1.05024,-109.35466189258153
1.0512000000000001,-110.65742379574952
1.05216,-111.04552224040965
1.05312,-111.67273715392702
1.0540800000000001,-112.08784743523282
1.05504,-112.84687597263296
1.056,-113.46912891035548
1.0569600000000001,-114.31162910917404
1.05792,-115.54073272894516
1.05888,-115.07897052557963
1.0598400000000001,-115.64106913783489
1.0608000000000002,-116.71797768430118
1.06176,-116.48263068950098
1.06272,-117.21739633583422
1.06368,-117.45049457846609
1.06464,-117.96099257905998
1.0656,-117.64999667050239
1.0665600000000002,-118.16441294134428
1.06752,-118.91947806081946
1.06848,-118.77587164002887
1.06944,-119.52570036761203
1.0704,-119.62304366753364
1.07136,-120.34091803598797
1.0723200000000002,-120.29067061284111
1.07328,-120.27674044871027
1.07424,-120.62427531276667
1.0752000000000002,-120.8649543052373
1.07616,-121.26989167904165
1.07712,-121.59995312824914
1.0780800000000001,-121.8021197358429
1.07904,-121.94514353878854
1.08,-122.38123897682954
1.0809600000000001,-122.33700097511915
1.08192,-122.69342413881532
1.08288,-122.99773532253899
1.0838400000000001,-123.01020239673747
1.0848000000000002,-123.64815976137272
1.08576,-123.75978459691103
1.0867200000000001,-123.81762654753548
1.08768,-123.95266142691378
1.08864,-124.31030027712697
1.0896000000000001,-124.49616512263735
1.0905600000000002,-124.65773839680567
1.09152,-125.12664987410035
1.0924800000000001,-125.18131425622124
1.09344,-125.57840156523717
1.0944,-125.59341268287754
1.0953600000000001,-125.95380577815276
1.0963200000000002,-126.1398512027695
1.09728,-126.45535676239632
1.09824,-126.67211830766975
1.0992,-126.98951591785223
1.10016,-127.14797933596968
1.10112,-127.4149204816427
1.1020800000000002,-127.60870833537955
1.10304,-127.9816752786266
1.104,-128.14291903048587
1.10496,-128.4616889750305
1.10592,-128.52458696769958
1.10688,-128.84921832812563
1.1078400000000002,-129.16328900392497
1.1088000000000002,-129.26344454844386
1.10976,-129.6369922181668
1.11072,-129.68223789469727
1.11168,-129.89559385571144
1.11264,-130.151465517635
1.1136000000000001,-130.35068325085734
1.1145600000000002,-130.5539771251976
1.11552,-130.77828167880975
1.11648,-131.11395265342205
1.11744,-131.275686319935
1.1184,-131.5650094638732
1.1193600000000001,-131.6296456059196
1.1203200000000002,-131.79754035591438
1.12128,-131.99685567165255
1.12224,-132.16709835867826
1.1232,-132.45481994687307
1.12416,-132.48548186979403
1.1251200000000001,-132.74400921042613
1.1260800000000002,-132.8510567811378
1.12704,-133.02304378684937
1.128,-133.21620679669752
1.12896,-133.28779716107897
1.12992,-133.410180203113
1.13088,-133.59313961488746
1.1318400000000002,-133.59703534284165
1.1328000000000003,-133.71173585999838
1.13376,-133.8454842823182
1.13472,-133.90424527323037
1.13568,-118.87854791482506
1.13664,-133.9747070170689
1.1376000000000002,-134.04042248074583
1.1385600000000002,-134.06735243701522
1.13952,-134.0551900677628
1.14048,-134.04010525199277
1.14144,-134.0833649226869
1.1424,-134.04680496290933
1.1433600000000002,-134.03499292568253
1.1443200000000002,-134.0376274360047
1.14528,-134.06462409743054
1.14624,-134.0137766282641
1.1472,-134.03728046735966
1.14816,-134.00058701142282
1.1491200000000001,-133.92599199539396
1.1500800000000002,-133.83967323311194
1.15104,-133.79428119706324
1.152,-133.7509557091351
1.15296,-133.7258280970704
1.15392,-133.66770383651414
1.1548800000000001,-133.64379540232218
1.1558400000000002,-133.55978728204624
1.1568000000000003,-133.50715628043747
1.15776,-133.38203035519754
1.15872,-133.34006887888606
1.15968,-133.29122575794662
1.1606400000000001,-133.2183991991017
1.1616000000000002,-133.16830068442727
1.1625600000000003,-133.1444488968214
1.1635199999999999,-133.04992884139818
1.16448,-132.98903379436035
1.16544,-132.92079977408497
1.1664,-132.88173874798824
1.1673600000000002,-132.7978331909358
1.1683200000000002,-132.73315181131022
1.1692799999999999,-132.65129293312845
1.17024,-132.59125493611154
1.1712,-132.53727665340503
1.17216,-132.4903654489633
1.1731200000000002,-132.36008504792204
1.1740800000000002,-132.30174296398096
1.1750399999999999,-132.2719617686767
1.176,-132.2046952777651
1.17696,-132.15868464567913
1.17792,-132.0835803504001
1.1788800000000001,-131.99742042174918
1.1798400000000002,-131.98272470137007
1.1807999999999998,-131.90816735963304
1.18176,-131.8644889801714
1.18272,-131.78918296516852
1.18368,-131.70749384330225
1.1846400000000001,-131.68408127410493
1.1856000000000002,-131.6648133163308
1.1865600000000003,-131.56643707006532
1.18752,-131.49819862422927
1.18848,-131.45293303174313
1.18944,-131.41839012366364
1.1904000000000001,-131.35779871877898
1.1913600000000002,-131.31608986014538
1.1923200000000003,-131.28148782646196
1.19328,-131.2155222262978
1.19424,-131.1868117706424
1.1952,-131.15168003967344
1.1961600000000001,-131.1038417524114
1.1971200000000002,-131.0908140122238
1.1980800000000003,-131.03702151870573
1.1990399999999999,-131.0422118390715
1.2,-131.0091942658331
1.20096,-130.97733067178504
1.20192,-130.9837845117763
1.2028800000000002,-130.95322558914464
1.2038400000000002,-130.93202695175341
1.2047999999999999,-130.96393739789835
1.20576,-130.9629293262856
1.20672,-130.95535286754347
1.20768,-130.94893793185037
1.2086400000000002,-130.97811279177074
1.2096000000000002,-131.00685489610322
1.21056,-131.026191245238
1.21152,-131.06488691207912
1.21248,-131.10336082770482
1.21344,-131.14813897396405
1.2144000000000001,-131.19361362657642
1.2153600000000002,-131.25203176995922
1.21632,-131.29116345658994
1.21728,-131.37005601589448
1.21824,-131.41808702605127
1.2192,-131.48978589248978
1.2201600000000001,-131.53599390194492
1.2211200000000002,-131.61098343787032
1.22208,-131.68382835565487
1.22304,-131.7497271016279
1.224,-131.85386894124792
1.22496,-131.91580146570422
1.2259200000000001,-131.97806245544965
1.2268800000000002,-132.03673333592604
1.22784,-132.08653524924839
1.2288,-132.13884997387717
1.22976,-132.2906837147656
1.23072,-132.3729723692983
1.23168,-132.44682029483073
1.2326400000000002,-132.50545369024064
1.2336,-132.5196820377285
1.23456,-132.54924842828746
1.23552,-132.6074635606568
1.23648,-132.62045445034767
1.23744,-132.64290354534944
1.2384000000000002,-132.66615441592484
1.23936,-132.60656748869772
1.24032,-132.5721999886055
1.24128,-132.5576895944221
1.24224,-132.51689114562143
1.2432,-132.4453015559625
1.2441600000000002,-132.3663432264397
1.2451200000000002,-132.28709503466058
1.24608,-132.20193764990026
1.24704,-132.0784598410683
1.248,-131.9666819099966
1.24896,-131.82414267653402
1.2499200000000001,-131.6516022302844
