Frequency (MHz),SRR (dB)
1.0341600000000002,2.034040469068093
1.0344,2.177600393867856
1.03464,2.3376515806462907
1.03488,2.5182045108541247
1.03512,2.587674270346848
1.03536,2.6881270270539663
1.0356,2.735802279056205
1.03584,2.752703110421809
1.0360800000000001,2.794112767867907
1.0363200000000001,2.837337534009044
1.0365600000000001,2.865916874120427
1.0368000000000002,2.8702970508094605
1.03704,2.90838599075204
1.03728,2.9148939012890662
1.03752,2.9408626360642365
1.03776,2.943048883545601
1.038,2.979457314520902
1.03824,2.9612988330123557
1.03848,2.987987530509617
1.03872,2.986933603863669
1.03896,2.996501024672393
1.0392000000000001,2.999694469515875
1.0394400000000001,3.010299956639812
1.0396800000000002,2.9954595156756314
1.0399200000000002,3.020879608203149
1.04016,3.0060732460200246
1.0404,3.018741057098965
1.04064,3.003982944880203
1.04088,3.0324122219384146
1.04112,3.048101455810489
1.04136,3.0542636201858375
1.0416,3.044780392547911
1.04184,3.0625119923192963
1.0420800000000001,3.0631685378624374
1.0423200000000001,3.095154091536172
1.0425600000000002,3.074031888216479
1.0428000000000002,3.1320966588731887
1.04304,3.1718267548614296
1.04328,3.1456806800997223
1.04352,3.203172863776844
1.04376,3.1887271436048357
1.044,3.225958464809054
1.04424,3.2734702432361376
1.04448,3.220107317515461
1.04472,3.2101669496623213
1.04496,3.2410716887557003
1.0452000000000001,3.2566936115426683
1.0454400000000001,3.270851330857389
1.0456800000000002,3.2469103536604864
1.0459200000000002,3.277414042321889
1.04616,3.253586687226541
1.0464,3.2754617063924267
1.04664,3.1793353092660412
1.04688,3.1201640684626093
1.04712,3.157982268006707
1.04736,3.202088290196456
1.0476,3.0948177503593532
1.04784,3.0387670719773907
1.0480800000000001,2.976210732800321
1.0483200000000001,2.9771572758950313
1.0485600000000002,2.949392837032874
1.0488000000000002,2.923514002229957
1.04904,2.8375440500277023
1.04928,2.777187783544312
1.04952,2.736263163710277
1.04976,2.6828977855070435
1.05,2.6092271873856387
1.05024,2.6255168729588823
1.05048,2.6015913310748724
1.05072,2.543623521710234
1.0509600000000001,2.566993121055389
1.0512000000000001,2.514827239135593
1.0514400000000002,2.513782043460027
1.0516800000000002,2.534445937379565
1.05192,2.5090852724448345
1.05216,2.532709176838914
1.0524,2.452628806103588
1.05264,2.4849785770673583
1.05288,2.5186386037313673
1.05312,2.553204695941498
1.05336,2.562736784013963
1.0536,2.631242637278965
1.05384,2.6181047966813265
1.0540800000000001,2.6696764717020285
1.0543200000000001,2.709398264255589
1.0545600000000002,2.752430532556454
1.0548000000000002,2.7965621350061785
1.05504,2.804145558309582
1.05528,2.8457419829662878
1.05552,2.8592633062134865
1.05576,2.898890215247807
1.056,2.928240725058782
1.05624,2.934694146604833
1.05648,2.953398457182665
1.05672,2.96051946444355
1.0569600000000001,2.99117269138328
1.0572000000000001,2.9933021078608677
1.0574400000000002,2.9982745296350792
1.05768,3.007471597816933
1.05792,3.010299956639812
1.05816,3.0067653712578983
1.0584,3.016652904277554
1.05864,3.023705206753723
1.05888,3.0215876688265535
1.05912,3.031433549773803
1.05936,3.03424360798833
1.0596,3.0538632694508534
1.0598400000000001,3.058040535614253
1.0600800000000001,3.093504696459565
1.0603200000000002,3.0961634321549503
1.0605600000000002,3.122929457631119
1.0608000000000002,3.160609038335198
1.06104,3.1800918690684665
1.06128,3.2140634236420222
1.06152,3.2583404569906564
1.06176,3.2803546993445387
1.062,3.318516194483948
1.06224,3.351243044185834
1.06248,3.4029880062174636
1.06272,3.390213097682577
1.0629600000000001,3.4384480349652757
1.0632000000000001,3.4710497819193824
1.0634400000000002,3.4426808371589397
1.06368,3.4785444854242344
1.06392,3.4667869502120583
1.06416,3.4206904562667937
1.0644,3.41838820798929
1.06464,3.4230118285473226
1.06488,3.422890723049539
1.06512,3.337654410774989
1.06536,3.2609599886608827
1.0656,3.2281288291054455
1.0658400000000001,3.2151266804037753
1.0660800000000001,3.1291578890626526
1.0663200000000002,3.1467259491401185
1.0665600000000002,3.100173945944886
1.0668000000000002,3.042750504771283
1.06704,3.0186552192782576
1.06728,2.968887554943061
1.06752,3.0132278505139602
1.06776,2.996918241874374
1.068,2.9423731682944014
1.06824,2.94547447448915
1.06848,2.98101650407085
1.0687200000000001,2.985901326068821
1.0689600000000001,2.9845094447493095
1.0692000000000002,3.007024322428686
1.06944,3.038508041141959
1.06968,3.0221585696946645
1.06992,3.0370653859830297
1.07016,3.0375385856546955
1.0704,3.0209601112779048
1.07064,3.027339487351899
1.07088,3.0177374174748235
1.07112,3.034737386460942
1.07136,3.022494035436292
1.0716,3.0230172272761853
1.0718400000000001,3.02989023165026
1.0720800000000001,3.039367538841003
1.0723200000000002,3.0472614122394495
1.0725600000000002,3.0724107581633664
1.0728000000000002,3.106248677411085
1.07304,3.16134695891382
1.07328,3.194493531281038
1.07352,3.256533052411694
1.07376,3.313252349761593
1.074,3.37354489602736
1.07424,3.4151633349936072
1.07448,3.446898901150257
1.0747200000000001,3.4738599084646298
1.0749600000000001,3.494183333748886
1.0752000000000002,3.5084954743296897
1.07544,3.502272414502703
1.07568,3.509936208484769
1.07592,3.5038375656996172
1.07616,3.512542242455623
1.0764,3.5005997135919484
1.07664,3.5112968248809606
1.07688,3.5083970538312013
1.07712,3.5084617271086382
1.07736,3.5260791944073935
1.0776000000000001,3.557456988845425
1.0778400000000001,3.567803020609865
1.0780800000000001,3.5443616422342523
1.0783200000000002,3.581414321424357
1.0785600000000002,3.5662994472898553
1.0788000000000002,3.510249132982982
1.07904,3.47851003066547
1.07928,3.4408411644446977
1.07952,3.3508464349819196
1.07976,3.309992761049304
1.08,3.234670121418302
1.08024,3.1725106325109524
1.08048,3.1317138384048833
1.0807200000000001,3.1299714280208346
1.0809600000000001,3.1112144712886702
1.0812,3.142693926199605
1.08144,3.1788127212883968
1.08168,3.230127339141131
1.08192,3.2990313897889574
1.08216,3.3353296009169715
1.0824,3.3765421325420415
1.08264,3.4022673132083465
1.08288,3.414115353986462
1.08312,3.4202930859229324
1.08336,3.4222218263814366
1.0836000000000001,3.4272325464977316
1.0838400000000001,3.4349300756646435
1.0840800000000002,3.444916510178566
1.0843200000000002,3.4774051377827133
1.0845600000000002,3.5094683692133763
1.0848000000000002,3.4718212003818305
1.08504,3.6198944921874796
1.08528,3.683757030547566
1.08552,3.7312537292285652
1.08576,3.75894796664571
1.086,3.753006432068667
1.08624,3.738249590903483
1.0864800000000001,3.7074277566733365
1.0867200000000001,3.662136516538203
1.08696,3.616185533813762
1.0872,3.5761474786534104
